Group,Count,Owner,Parent.int_groups,Register,Field,Path,Name,Type,Allow during port up,FLags,Severity,,info (I) action (default is none),I->E count thresh,,error (E) action (default is count),Error->Fatal count threshold,Description (or Action in case of Fatal),,fatal (F) action (default is reset)
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_pktout_ff_overflow,dpr.dpr[#].int_reg#,int_reg#.err_pktout_ff_overflow,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_ptr_ff_overflow,dpr.dpr[#].int_reg#,int_reg#.err_ptr_ff_overflow,overflow,,None,fatal (F),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,err_ptr_from_cfg_overflow,dpr.dpr[#].int_reg#,int_reg#.err_ptr_from_cfg_overflow,overflow,,None,info (I),,n/a,n/a,,n/a,n/a,Hardware Error,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,fieldC,dpr.dpr[#].int_reg#,int_reg#.fieldC,,,None,info (I),,n/a,n/a,,n/a,n/a,spare,,
p4,2,Alessandro,dpr.dpr[#],int_reg#,fieldD,dpr.dpr[#].int_reg#,int_reg#.fieldD,,,None,info (I),,n/a,n/a,,n/a,n/a,spare,,
p4,64,Alessandro,dpr.dpr[#],int_spare,spare_#,dpr.dpr[#].int_spare,int_spare.spare_#,,,None,fatal (F),,n/a,n/a,,n/a,n/a,spare_0 .. spare_7: Hardware Error; spare_8: err_phv_above_max: P4 program/compiler error. Packet need to get information form a PHV that is beyond the maximum supported; spare_9: capture engaged used for debug;,,"Only bit 0 to 7 are fatal, bit 8 should be masked and bit 9 is info"
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_csum_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_csum_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_csum_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_csum_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_ohi_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_ohi_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_ohi_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_ohi_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_phv_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_phv_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_phv_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_phv_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_pktin_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_pktin_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_pktin_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_pktin_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_pktout_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_pktout_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_pktout_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_pktout_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_ptr_fifo_correctable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_ptr_fifo_correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,2,Alessandro,dpr.dpr[#],int_srams_ecc,dpr_ptr_fifo_uncorrectable,dpr.dpr[#].int_srams_ecc,int_srams_ecc.dpr_ptr_fifo_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
mac,1,Daniel,bx.bx,int_mac,bxpb_pbus_drdy,bx.bx.int_mac,int_mac.bxpb_pbus_drdy,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"Debug PB config. Never happen; otherwise, it's hardware bug",,
mac,1,Daniel,bx.bx,int_mac,lane_dbe,bx.bx.int_mac,int_mac.lane_dbe,ecc,YES,None,HW-RMA (F) after init,,n/a,,,n/a,,Double bit error in SerDes. Lane may go down,,
mac,1,Daniel,bx.bx,int_mac,lane_sbe,bx.bx.int_mac,int_mac.lane_sbe,ecc,YES,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,
mac,1,Daniel,bx.bx,int_mac,rx_min_size_err,bx.bx.int_mac,int_mac.rx_min_size_err,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,1,Daniel,bx.bx,int_mac,rx_missing_eof,bx.bx.int_mac,int_mac.rx_missing_eof,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,1,Daniel,bx.bx,int_mac,rx_missing_sof,bx.bx.int_mac,int_mac.rx_missing_sof,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,1,Daniel,bx.bx,int_mac,rx_timeout_err,bx.bx.int_mac,int_mac.rx_timeout_err,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,1,Daniel,bx.bx,int_mac,xdmac#_intr,bx.bx.int_mac,int_mac.xdmac#_intr,,,None,info (I),,n/a,n/a,,n/a,n/a,"Info only, no action",,
mac,1,Daniel,bx.bx,int_mac,xdmac#_pslverr,bx.bx.int_mac,int_mac.xdmac#_pslverr,,,None,SW-MASK-IGNORE,,n/a,n/a,,"Does not work, SW should mask/ignore",n/a,Invalid need to be masked,,
mac,2,Daniel,mx.mx[#],int_ecc,correctable,mx.mx[#].int_ecc,int_ecc.correctable,ecc_hw,,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
mac,2,Daniel,mx.mx[#],int_ecc,uncorrectable,mx.mx[#].int_ecc,int_ecc.uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
mac,8,Daniel,mx.mx[#],int_mac,lane#_dbe,mx.mx[#].int_mac,int_mac.lane#_dbe,ecc,YES,None,HW-RMA (F) after init,,n/a,n/a,,n/a,n/a,Double bit error in SerDes. Lane may go down,,
mac,8,Daniel,mx.mx[#],int_mac,lane#_sbe,mx.mx[#].int_mac,int_mac.lane#_sbe,ecc,YES,None,error (E),,n/a,n/a,,count,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,
mac,8,Daniel,mx.mx[#],int_mac,m#pb_pbus_drdy,mx.mx[#].int_mac,int_mac.m#pb_pbus_drdy,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"Debug PB config. Never happen; otherwise, it's hardware bug",,
mac,8,Daniel,mx.mx[#],int_mac,rx#_min_size_err,mx.mx[#].int_mac,int_mac.rx#_min_size_err,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,8,Daniel,mx.mx[#],int_mac,rx#_missing_eof,mx.mx[#].int_mac,int_mac.rx#_missing_eof,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,8,Daniel,mx.mx[#],int_mac,rx#_missing_sof,mx.mx[#].int_mac,int_mac.rx#_missing_sof,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,8,Daniel,mx.mx[#],int_mac,rx#_timeout_err,mx.mx[#].int_mac,int_mac.rx#_timeout_err,,,None,info (I),,n/a,n/a,,n/a,n/a,HW self recover,,
mac,2,Daniel,mx.mx[#],int_mac,umac_CFG#_intr,mx.mx[#].int_mac,int_mac.umac_CFG#_intr,,,None,info (I),,n/a,n/a,,n/a,n/a,"Info only, no action",,
mac,2,Daniel,mx.mx[#],int_mac,umac_CFG#_pslverr,mx.mx[#].int_mac,int_mac.umac_CFG#_pslverr,,,None,SW-MASK-IGNORE,,n/a,n/a,,"Does not work, SW should mask/ignore",n/a,Invalid need to be masked,,
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_badaddr,bg_bad_addr,sse.pics.int_badaddr,int_badaddr.bg_bad_addr,address,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_badaddr,cpu_bad_addr,sse.pics.int_badaddr,int_badaddr.cpu_bad_addr,address,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,8,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_badaddr,rdreq#_bad_addr,sse.pics.int_badaddr,int_badaddr.rdreq#_bad_addr,address,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,8,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_badaddr,wrreq#_bad_addr,sse.pics.int_badaddr,int_badaddr.wrreq#_bad_addr,address,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,16,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_bg,unfinished_bg#,sse.pics.int_bg,int_bg.unfinished_bg#,,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_pics,correctable_ecc,sse.pics.int_pics,int_pics.correctable_ecc,ecc_sw,,None,error (E),,n/a,n/a,,SW must write again to correct,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_pics,picc,sse.pics.int_pics,int_pics.picc,,,None,info (I),,n/a,n/a,,n/a,n/a,"Info only, no action",,
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_pics,too_many_rl_sch_error,sse.pics.int_pics,int_pics.too_many_rl_sch_error,,,None,error (E),,n/a,n/a,,Fix P4 pic config ,n/a,SW programming error,,
p4,1,Daniel,sse.pics / ssi.pics / rpc.pics / tpc.pics,int_pics,uncorrectable_ecc,sse.pics.int_pics,int_pics.uncorrectable_ecc,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,cache_hbm_bresp_decerr,sse.pics.picc.int_picc,int_picc.cache_hbm_bresp_decerr,,,None,fatal (F),,n/a,n/a,,n/a,n/a,HBM access fatal error,,
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,cache_hbm_bresp_slverr,sse.pics.picc.int_picc,int_picc.cache_hbm_bresp_slverr,,,None,fatal (F),,n/a,n/a,,n/a,n/a,HBM access fatal error,,
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,cache_hbm_rresp_decerr,sse.pics.picc.int_picc,int_picc.cache_hbm_rresp_decerr,,,None,fatal (F),,n/a,n/a,,n/a,n/a,HBM access fatal error,,
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,cache_hbm_rresp_slverr,sse.pics.picc.int_picc,int_picc.cache_hbm_rresp_slverr,,,None,fatal (F),,n/a,n/a,,n/a,n/a,HBM access fatal error,,
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,cache_stg_awlen_err,sse.pics.picc.int_picc,int_picc.cache_stg_awlen_err,,,None,fatal (F),,n/a,n/a,,n/a,n/a,HBM access fatal error,,
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,correctable_ecc,sse.pics.picc.int_picc,int_picc.correctable_ecc,ecc_sw,,None,error (E),,n/a,n/a,,SW must write again to correct,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4,1,Daniel,sse.pics.picc / ssi.pics.picc / rpc.pics.picc / tpc.pics.picc,int_picc,uncorrectable_ecc,sse.pics.picc.int_picc,int_picc.uncorrectable_ecc,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,lb_phv_almost_full_timeout_err,pr.pr.psp.int_err,int_err.lb_phv_almost_full_timeout_err,phv,,None,error (E),,n/a,n/a,,send to asic team for debug,1,the PHV state machine waited for longer than cfg_profile_almost_full_timer_max,,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,lb_pkt_almost_full_timeout_err,pr.pr.psp.int_err,int_err.lb_pkt_almost_full_timeout_err,pbus,,None,error (E),,n/a,n/a,,send to asic team for debug,1,the PKT state machine waited for longer than cfg_profile_almost_full_timer_max,,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,max_recir_count_err,pr.pr.psp.int_err,int_err.max_recir_count_err,phv,,None,error (E),,n/a,n/a,,fix program,never,a packet was recirculated through P4+ more than the cfg_profile_recirc_max,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pb_pbus_dummy_err,pr.pr.psp.int_err,int_err.pb_pbus_dummy_err,pbus,,None,error (E),,n/a,n/a,,fix program,never,"there was a missing PKT after the PHV, so the HW generated a dummy PKT",,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pb_pbus_err,pr.pr.psp.int_err,int_err.pb_pbus_err,pbus,,None,error (E),,n/a,n/a,,expected on errors,never,error bit received ont the input PKT bus,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pb_pbus_min_err,pr.pr.psp.int_err,int_err.pb_pbus_min_err,pbus,,None,error (E),,n/a,n/a,,fix program,never,PKT smaller than cfg_profile_phv_min received from the input PKT bus,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pb_pbus_nopkt_err,pr.pr.psp.int_err,int_err.pb_pbus_nopkt_err,pbus,,None,error (E),,n/a,n/a,,fix program,never,"PKT smaller than 12 flits received from the input PKT bus, PKT data was dropped",,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pr_pbus_err,pr.pr.psp.int_err,int_err.pr_pbus_err,pbus,,None,error (E),,n/a,n/a,,expected on errors,never,error bit sent on the output PKT bus,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,pr_resub_pbus_err,pr.pr.psp.int_err,int_err.pr_resub_pbus_err,pbus,,None,error (E),,n/a,n/a,,expected on errors,never,error bit received ont the input PKT bus,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,psp_csr_read_access_err,pr.pr.psp.int_err,int_err.psp_csr_read_access_err,csr,,None,error (E),,n/a,n/a,,fix register access address,never,psp_csr_read_access && psp_csr_ready && psp_csr_error,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,psp_csr_write_access_err,pr.pr.psp.int_err,int_err.psp_csr_write_access_err,csr,,None,error (E),,n/a,n/a,,fix register access address,never,psp_csr_write_access && psp_csr_ready && psp_csr_error,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,psp_phv_eop_offset_err,pr.pr.psp.int_err,int_err.psp_phv_eop_offset_err,phv,,None,error (E),,n/a,n/a,,fix program,never,EOP seen before reaching PHV offset,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,psp_phv_larger_than_twelve_flits_err,pr.pr.psp.int_err,int_err.psp_phv_larger_than_twelve_flits_err,phv,,None,error (E),,n/a,n/a,,fix program,never,PHV over the max 12 flits received and truncated,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_err,psp_phv_sop_offset_err,pr.pr.psp.int_err,int_err.psp_phv_sop_offset_err,phv,,None,error (E),,n/a,n/a,,fix program,never,EOP seen before reaching PHV offset in SOP flit,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,dc_phv_sop_err,pr.pr.psp.int_fatal,int_fatal.dc_phv_sop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,dc_pkt_sop_err,pr.pr.psp.int_fatal,int_fatal.dc_pkt_sop_err,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,flit_cnt_oflow_err,pr.pr.psp.int_fatal,int_fatal.flit_cnt_oflow_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,lb_phv_sop_err,pr.pr.psp.int_fatal,int_fatal.lb_phv_sop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,lb_pkt_sop_err,pr.pr.psp.int_fatal,int_fatal.lb_pkt_sop_err,pkt,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,lif_ind_table_rsp_err,pr.pr.psp.int_fatal,int_fatal.lif_ind_table_rsp_err,table,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,ma_eop_err,pr.pr.psp.int_fatal,int_fatal.ma_eop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,ma_sop_err,pr.pr.psp.int_fatal,int_fatal.ma_sop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pb_pbus_eop_err,pr.pr.psp.int_fatal,int_fatal.pb_pbus_eop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,5,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pb_pbus_fsm#_no_data_err,pr.pr.psp.int_fatal,int_fatal.pb_pbus_fsm#_no_data_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pb_pbus_fsm#_pkt_too_small_err,pr.pr.psp.int_fatal,int_fatal.pb_pbus_fsm#_pkt_too_small_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pb_pbus_sop_err,pr.pr.psp.int_fatal,int_fatal.pb_pbus_sop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_pbus_eop_err,pr.pr.psp.int_fatal,int_fatal.pr_pbus_eop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_pbus_sop_err,pr.pr.psp.int_fatal,int_fatal.pr_pbus_sop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_resub_eop_err,pr.pr.psp.int_fatal,int_fatal.pr_resub_eop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_resub_pbus_eop_err,pr.pr.psp.int_fatal,int_fatal.pr_resub_pbus_eop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_resub_pbus_sop_err,pr.pr.psp.int_fatal,int_fatal.pr_resub_pbus_sop_err,pbus,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,pr_resub_sop_err,pr.pr.psp.int_fatal,int_fatal.pr_resub_sop_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_fatal,sw_phv_jabber_err,pr.pr.psp.int_fatal,int_fatal.sw_phv_jabber_err,phv,,None,fatal (F),,n/a,n/a,,n/a,n/a,"fatal HW fsm error, no HW handling",,may need to reset the dma or chip
p4+rxdma,5,Georges,pr.pr.psp / pt.pt.psp,int_info,pb_pbus_fsm#_no_data,pr.pr.psp.int_info,int_info.pb_pbus_fsm#_no_data,pbus,,None,info (I),,count,n/a,,n/a,n/a,received PHV with no data,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_info,phv_srdy_collapsed,pr.pr.psp.int_info,int_info.phv_srdy_collapsed,phv,,None,info (I),,count,n/a,,n/a,n/a,collapsed multiple idential PHVs,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_info,pr_pkt_ff_almost_full,pr.pr.psp.int_info,int_info.pr_pkt_ff_almost_full,pkt,,None,info (I),,count,n/a,,n/a,n/a,almost full flow control was asserted,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_info,pr_resub_pkt_before_phv,pr.pr.psp.int_info,int_info.pr_resub_pkt_before_phv,phv,,None,info (I),,"none, info only",n/a,,n/a,n/a,received the PKT before the PHV on the resub busses,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_info,ptd_npv_phv_full,pr.pr.psp.int_info,int_info.ptd_npv_phv_full,phv,,None,info (I),,count,n/a,,n/a,n/a,almost full flow control was asserted,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_lif_qstate_map,ecc_correctable,pr.pr.psp.int_lif_qstate_map,int_lif_qstate_map.ecc_correctable,ecc_sw,,None,error (E),,n/a,n/a,,SW must write again to correct,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_lif_qstate_map,ecc_uncorrectable,pr.pr.psp.int_lif_qstate_map,int_lif_qstate_map.ecc_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_lif_qstate_map,qid_invalid,pr.pr.psp.int_lif_qstate_map,int_lif_qstate_map.qid_invalid,table,,None,info (I),,fix lif table content,never,,n/a,n/a,lookup in lif table missed,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_sw_phv_mem,ecc_correctable,pr.pr.psp.int_sw_phv_mem,int_sw_phv_mem.ecc_correctable,ecc_sw,,None,error (E),,n/a,n/a,,SW must write again to correct,>10 per 1 day,"ecc correctable single bit SOFT error, expect once per 25 years per chip",,send chip to Avago
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_sw_phv_mem,ecc_uncorrectable,pr.pr.psp.int_sw_phv_mem,int_sw_phv_mem.ecc_uncorrectable,ecc,,None,HW-RMA (F),,n/a,n/a,,n/a,n/a,"ecc uncorrectable DOUBLE bit SOFT error, expect once per 250 years per chip",,send chip to Avago
p4+rxdma,8,Georges,pr.pr.psp / pt.pt.psp,int_sw_phv_mem,phv_done#,pr.pr.psp.int_sw_phv_mem,int_sw_phv_mem.phv_done#,phv,,None,info (I),,for SW use,never,,n/a,n/a,SW PHV done info,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_sw_phv_mem,phv_invalid_data,pr.pr.psp.int_sw_phv_mem,int_sw_phv_mem.phv_invalid_data,phv,,None,info (I),,fix SW PHV sram content,never,,n/a,n/a,bad SW PHV sram programming,,n/a
p4+rxdma,1,Georges,pr.pr.psp / pt.pt.psp,int_sw_phv_mem,phv_invalid_sram,pr.pr.psp.int_sw_phv_mem,int_sw_phv_mem.phv_invalid_sram,phv,,None,info (I),,fix SW PHV sram content,never,,n/a,n/a,bad SW PHV sram programming,,n/a
ms,1,Hemant,db.wa,int_db,bresp_err,db.wa.int_db,int_db.bresp_err,,,None,error (E),,n/a,n/a,,"investigate why queue state access got error, doorbell will be dropped",,,,
ms,1,Hemant,db.wa,int_db,db_cam_conflict,db.wa.int_db,int_db.db_cam_conflict,,,None,info (I),,n/a,n/a,,n/a,n/a,"Info only, no action",,
